event,e_id,time,prop_page,prop_userType,prop_appVersion,prop_device,prop_os,prop_location,prop_gps
click_search,84bb7a50a90c44bbaffe08f9655895f9,1704070123,search,new,150.7.1,Pixel 8,Android,"{""country"": ""Korea"", ""city"": ""Daegu"", ""district"": ""시구""}","{""latitude"": 36.955, ""longitude"": 129.186}"
click_item,84bb7a50a90c44bbaffe08f9655895f9,1704070129,item,new,150.7.1,Pixel 8,Android,"{""country"": ""Korea"", ""city"": ""Daegu"", ""district"": ""시구""}","{""latitude"": 36.955, ""longitude"": 129.186}"
click_cart,84bb7a50a90c44bbaffe08f9655895f9,1704070158,cart,new,150.7.1,Pixel 8,Android,"{""country"": ""Korea"", ""city"": ""Daegu"", ""district"": ""시구""}","{""latitude"": 36.955, ""longitude"": 129.186}"
click_checkout,84bb7a50a90c44bbaffe08f9655895f9,1704070184,checkout,new,150.7.1,Pixel 8,Android,"{""country"": ""Korea"", ""city"": ""Daegu"", ""district"": ""시구""}","{""latitude"": 36.955, ""longitude"": 129.186}"
click_exit,4a0f1a7caa5546e7a3bbecaa94a4c077,1704123088,exit,returning,152.6.1,iPhone 15,iOS,"{""country"": ""Korea"", ""city"": ""Incheon"", ""district"": ""시구""}","{""latitude"": 37.205, ""longitude"": 126.75}"
click_exit,175ba0c649be4ef19dcff7a35aae85c6,1704121794,exit,churned,154.4.1,MacBook Pro,macOS,"{""country"": ""Korea"", ""city"": ""Incheon"", ""district"": ""시구""}","{""latitude"": 35.324, ""longitude"": 127.885}"
click_navi,a6d93aea295247759f99cfa75bf639c3,1704128177,navi,churned,154.1.1,Pixel 8,Android,"{""country"": ""Korea"", ""city"": ""Busan"", ""district"": ""시구""}","{""latitude"": 37.556, ""longitude"": 127.145}"
click_item,a6d93aea295247759f99cfa75bf639c3,1704128202,item,churned,154.1.1,Pixel 8,Android,"{""country"": ""Korea"", ""city"": ""Busan"", ""district"": ""시구""}","{""latitude"": 37.556, ""longitude"": 127.145}"
click_cart,a6d93aea295247759f99cfa75bf639c3,1704128229,cart,churned,154.1.1,Pixel 8,Android,"{""country"": ""Korea"", ""city"": ""Busan"", ""district"": ""시구""}","{""latitude"": 37.556, ""longitude"": 127.145}"
click_checkout,a6d93aea295247759f99cfa75bf639c3,1704128238,checkout,churned,154.1.1,Pixel 8,Android,"{""country"": ""Korea"", ""city"": ""Busan"", ""district"": ""시구""}","{""latitude"": 37.556, ""longitude"": 127.145}"
click_search,d741575e20f142a2892c00d335fb13fa,1704122448,search,returning,152.8.1,Galaxy S24,Android,"{""country"": ""Korea"", ""city"": ""Seoul"", ""district"": ""시구""}","{""latitude"": 36.519, ""longitude"": 127.469}"
click_item,d741575e20f142a2892c00d335fb13fa,1704122473,item,returning,152.8.1,Galaxy S24,Android,"{""country"": ""Korea"", ""city"": ""Seoul"", ""district"": ""시구""}","{""latitude"": 36.519, ""longitude"": 127.469}"
click_cart,d741575e20f142a2892c00d335fb13fa,1704122489,cart,returning,152.8.1,Galaxy S24,Android,"{""country"": ""Korea"", ""city"": ""Seoul"", ""district"": ""시구""}","{""latitude"": 36.519, ""longitude"": 127.469}"
click_checkout,d741575e20f142a2892c00d335fb13fa,1704122511,checkout,returning,152.8.1,Galaxy S24,Android,"{""country"": ""Korea"", ""city"": ""Seoul"", ""district"": ""시구""}","{""latitude"": 36.519, ""longitude"": 127.469}"
